,JAN,Year,FEB,Year.1,MAR,Year.2,APR,Year.3,MAY,Year.4,JUN,Year.5,JUL,Year.6,AUG,Year.7,SEP,Year.8,OCT,Year.9,NOV,Year.10,DEC,Year.11,WIN,Year.12,SPR,Year.13,SUM,Year.14,AUT,Year.15,ANN,Year.16
0,293.8,1993,278.1,1990,238.5,1994,191.1,1947,191.4,2011,157.9,2017,185.6,1940,216.5,1985,267.6,1950,258.1,1935,262.0,2009,328.2,2015.0,746.3,2016.0,409.5,1986,455.6,1985,661.2,1981,1886.4,2011.0
1,292.2,1928,258.8,1997,233.4,1990,149.0,1910,168.7,1986,155.0,1938,181.4,1988,211.9,1992,221.2,1981,254.0,1954,244.8,1938,300.7,2013.0,743.6,2014.0,403.1,2015,435.6,1948,633.8,1954,1853.5,2015.0
2,275.6,2008,244.7,2002,201.3,1992,146.8,1934,155.9,1925,137.9,2002,170.1,1939,202.3,2009,193.9,1982,248.8,2014,242.2,2006,268.5,1986.0,649.5,1995.0,393.7,1994,427.8,2009,615.8,1938,1828.1,1990.0
3,253.8,2016,227.9,1989,200.2,1967,142.1,1949,151.8,2015,137.8,1948,165.8,2010,191.4,1962,189.7,2011,247.7,1938,241.5,2015,267.2,1929.0,645.4,2000.0,393.2,1967,422.6,1956,594.5,1935,1756.8,2014.0
4,252.3,2015,224.9,2014,180.2,1979,133.5,1950,137.4,2003,137.7,1931,162.9,1956,190.3,2014,189.7,1927,242.3,1983,231.3,1917,265.4,2011.0,638.3,2007.0,391.7,1992,418.6,2017,590.6,1982,1735.8,1938.0
5,246.2,1974,195.6,1995,180.0,1989,132.9,1932,129.7,2007,135.0,1966,159.9,1985,189.1,2004,189.6,1985,240.9,2001,229.9,1981,264.0,2006.0,608.9,1990.0,389.1,1913,397.0,2004,589.2,2006,1720.0,2008.0
6,245.0,1975,194.8,1998,179.6,1921,132.3,1927,129.6,1920,131.7,2004,158.0,1953,188.8,1948,187.5,1935,238.1,2008,224.9,1951,261.0,1912.0,596.2,2015.0,386.5,1947,390.1,1938,587.8,1984,1716.5,1954.0
7,241.9,2005,191.5,2000,174.4,1913,130.6,1925,124.2,1916,130.4,1980,154.6,2009,187.3,1930,184.4,1980,236.4,1917,223.2,1986,260.8,1949.0,580.6,1920.0,378.0,1990,387.5,2012,586.1,1917,1696.7,2004.0
8,241.7,2007,188.0,1920,172.5,2015,126.8,1977,123.6,1945,126.6,1928,151.6,2015,184.9,1910,183.3,1995,234.8,1967,221.5,1984,260.7,1999.0,579.0,2008.0,376.0,2011,383.1,2007,577.9,2011,1692.9,1948.0
9,237.9,1990,176.1,1918,166.4,1978,126.4,1994,123.4,1954,126.2,2012,150.9,1957,183.2,1923,181.7,1978,230.6,1916,217.4,1982,243.0,1974.0,576.0,2002.0,375.3,1925,382.7,1946,557.1,2009,1690.4,2009.0
10,234.6,1983,167.9,1945,165.5,2008,125.1,1951,123.3,1922,125.1,1912,150.5,1946,175.5,1989,180.0,1946,227.7,1998,215.8,1947,234.0,1966.0,566.8,1989.0,364.5,2006,378.0,1998,543.2,2000,1686.1,1928.0
11,231.6,1932,167.6,1939,163.9,1986,123.8,2004,122.0,2009,123.5,1927,149.9,1936,170.3,1956,176.9,1918,225.3,2000,215.4,1991,233.9,1994.0,560.9,1916.0,359.3,1920,377.2,1957,542.0,1950,1683.6,1998.0
12,227.5,1962,167.6,1915,163.4,1988,122.7,2005,121.9,1958,122.8,1990,145.0,1938,165.4,1943,176.4,2004,220.9,1996,213.3,1954,228.0,1914.0,555.7,2012.0,356.5,1979,376.2,1988,536.5,1980,1672.8,1999.0
13,224.0,1921,166.7,2011,154.9,1983,120.6,1943,119.6,1924,116.7,1944,144.7,1998,164.8,1988,175.2,1948,219.7,1995,212.0,1939,227.0,1921.0,552.2,1937.0,352.2,2005,373.8,1950,529.9,1977,1670.7,1992.0
14,220.4,1938,165.4,1992,150.5,1982,119.5,1919,119.0,2013,115.1,1991,144.0,1924,163.6,2011,170.8,1924,214.5,1932,211.8,1940,225.3,1955.0,546.5,2005.0,351.9,2009,368.9,1924,524.4,1995,1657.1,2006.0
15,220.1,1995,165.4,1916,149.8,1987,119.2,1915,118.9,1967,114.4,1919,143.3,1959,162.1,1941,169.7,1975,214.0,1943,209.9,1979,224.9,1993.0,542.6,1915.0,346.7,1963,368.6,1980,523.3,1970,1631.0,2000.0
16,218.0,2014,165.3,1911,149.0,2009,117.4,1972,117.8,2006,114.0,1965,143.2,1970,158.6,1929,167.4,1992,210.1,1981,209.0,1977,224.8,1954.0,537.9,1984.0,345.8,1934,368.4,1923,520.5,1927,1627.8,2002.0
17,213.9,1999,164.4,2016,148.8,1963,117.2,1991,115.9,2005,113.5,1945,141.9,1918,155.8,1917,167.0,1923,207.2,1984,205.2,1953,221.5,1983.0,535.0,1998.0,334.1,1999,366.7,2008,519.5,1923,1623.8,1923.0
18,213.3,2002,164.4,1914,147.6,1968,117.1,2013,115.7,1963,112.8,1972,139.7,1950,152.6,2008,166.5,1954,205.9,1934,204.6,1978,219.3,2014.0,534.6,1974.0,333.7,1993,363.6,2011,511.4,1930,1607.8,2012.0
19,211.5,1994,161.4,1935,146.5,1920,113.9,1992,113.7,1931,111.9,1999,138.9,2016,152.2,1961,165.0,1942,205.7,2011,203.5,1992,215.9,1980.0,533.1,1975.0,327.7,2002,363.2,1930,510.9,1932,1592.6,2005.0
20,210.9,1984,160.6,2008,142.1,1981,113.7,2012,113.4,1976,111.3,1935,134.5,2007,151.7,1949,164.4,1999,204.6,2004,195.9,1914,214.8,2012.0,533.0,1922.0,326.8,1977,361.4,2015,502.7,2004,1585.5,1982.0
21,209.4,2004,160.5,1925,140.9,2007,112.8,1959,110.9,2002,110.1,1946,133.5,1931,151.5,1982,161.0,1983,204.3,1930,193.6,1911,214.8,1924.0,529.2,1950.0,324.9,2007,359.9,1910,502.4,2001,1585.0,2007.0
22,208.5,1916,153.4,1910,140.8,1995,109.6,1993,110.2,1943,109.4,2007,127.2,1915,151.0,1957,159.1,1984,204.0,1929,193.0,1974,212.4,1951.0,526.9,1994.0,323.6,2014,359.4,1928,502.4,1978,1582.3,1916.0
