,JAN,Year,FEB,Year.1,MAR,Year.2,APR,Year.3,MAY,Year.4,JUN,Year.5,JUL,Year.6,AUG,Year.7,SEP,Year.8,OCT,Year.9,NOV,Year.10,DEC,Year.11,WIN,Year.12,SPR,Year.13,SUM,Year.14,AUT,Year.15,ANN,Year.16
0,205.1,1928,187.9,1990,150.3,1981,128.0,2012,128.3,1967,149.0,2012,145.6,2009,167.6,1912,182.2,1918,194.8,2000,215.7,2009,218.8,2015.0,544.9,2014.0,331.7,1947,384.4,1912,497.8,2000,1337.3,2000.0
1,189.6,2008,175.6,2002,142.5,1994,120.3,2000,121.6,1924,136.2,2007,145.3,1988,166.7,1917,180.0,1950,192.5,1967,193.6,1951,213.0,1929.0,509.1,2016.0,317.6,1979,379.2,2012,473.1,1954,1334.8,2012.0
2,188.0,2014,169.2,2014,141.1,1947,117.1,1947,120.3,1925,124.5,1912,144.9,1939,160.4,1956,168.8,1981,183.5,1998,190.4,1940,203.3,1914.0,485.1,1995.0,315.6,1913,359.2,1956,470.7,1935,1309.1,1954.0
3,180.2,1948,163.7,1997,140.0,1979,116.6,1998,114.6,1986,121.3,1980,143.0,1936,159.8,2004,157.2,1927,173.5,1916,188.0,1929,190.3,1999.0,470.9,1990.0,310.0,1920,357.8,2007,446.4,1981,1300.5,2014.0
4,179.6,2016,152.6,1923,131.2,1913,106.1,1920,114.1,2007,118.8,1998,135.2,2007,157.3,1992,152.8,1935,173.4,1935,182.2,1954,188.4,1911.0,463.1,1915.0,305.0,1986,343.2,1985,430.4,1984,1295.0,2008.0
5,176.6,1995,141.1,1915,128.2,1912,102.9,1913,112.5,2006,113.7,2017,134.6,1940,152.8,1985,147.0,1946,172.2,1938,173.2,1939,187.6,2013.0,437.9,2007.0,291.2,2006,337.1,1927,417.0,1938,1283.7,2002.0
6,171.2,1993,140.7,1950,125.0,1992,100.6,1935,110.3,2015,112.6,1997,124.7,1915,140.2,1910,141.5,1974,171.6,1954,172.9,2015,184.8,1993.0,433.0,1916.0,287.1,1983,327.6,1931,415.1,1944,1272.4,2015.0
7,169.3,1974,140.3,1916,124.3,1914,99.9,1932,107.9,1932,112.0,1931,123.5,1920,138.8,2014,138.4,1965,171.5,1932,172.7,2000,184.1,1986.0,423.8,1937.0,286.4,1967,326.8,1946,413.1,1982,1267.1,1998.0
8,167.2,1984,138.9,1995,123.9,1988,99.2,1993,105.6,1969,109.9,1928,123.1,1957,138.1,1930,137.9,1976,168.0,1917,170.7,1970,183.8,1915.0,422.9,1994.0,285.4,1981,325.0,2017,400.6,2006,1258.5,1928.0
9,166.6,1988,137.9,1937,122.5,2008,96.8,1934,104.4,1979,107.4,1948,122.6,1924,138.0,1948,137.1,1999,165.8,2004,166.9,1984,179.4,2012.0,417.7,2000.0,281.9,1994,323.0,2009,397.4,1967,1242.0,1912.0
10,166.1,1990,136.4,1925,121.7,1989,96.7,1961,102.5,1983,106.8,1927,122.4,1956,136.8,1962,133.3,1924,165.8,2001,165.2,1944,177.7,1959.0,402.3,1920.0,278.7,1932,320.2,2008,397.4,1950,1239.1,1999.0
