,JAN,Year,FEB,Year.1,MAR,Year.2,APR,Year.3,MAY,Year.4,JUN,Year.5,JUL,Year.6,AUG,Year.7,SEP,Year.8,OCT,Year.9,NOV,Year.10,DEC,Year.11,WIN,Year.12,SPR,Year.13,SUM,Year.14,AUT,Year.15,ANN,Year.16
0,301.4,1948,271.4,1923,278.7,1981,193.9,1920,179.2,1967,219.1,2012,241.4,1939,274.5,1917,293.1,1918,303.5,1967,336.9,1929,334.7,2015.0,725.8,2014.0,507.4,1920,543.1,1912,722.2,2000,1828.6,2000.0
1,279.7,1928,266.4,2002,253.6,1947,168.7,2012,164.1,2006,183.1,1998,226.5,2009,254.4,1912,246.1,1950,277.3,2000,318.8,2009,311.3,1965.0,725.7,2016.0,473.1,1947,509.2,2012,696.0,1954,1768.2,1954.0
2,259.5,1974,242.3,2014,217.9,1912,167.4,1913,157.0,1942,167.7,2007,204.6,2007,224.7,1927,245.4,1958,270.1,1998,283.0,1940,306.7,1929.0,684.1,1995.0,460.1,1913,499.3,1927,621.3,1935,1703.3,2012.0
3,257.8,2014,237.2,1950,206.9,1919,154.9,1998,152.4,1969,158.4,1928,197.5,1920,223.6,1992,234.7,1957,265.0,1916,282.3,2000,289.7,1934.0,665.6,1990.0,446.2,1981,448.6,2007,618.8,1960,1699.4,1960.0
4,246.6,1990,230.5,1925,195.8,1913,148.2,1961,149.8,1924,155.8,1912,191.8,1936,220.3,1950,230.3,1981,263.0,1954,282.3,1960,287.1,1993.0,629.3,1915.0,404.6,2006,446.7,1910,597.4,1929,1680.4,1928.0
5,245.7,2008,221.9,1937,194.3,1994,147.4,2000,149.2,2002,151.5,1955,172.5,1988,205.2,1985,230.2,1974,257.1,2004,278.8,1954,285.5,1911.0,614.5,1960.0,400.9,1979,443.1,1985,585.0,1981,1663.9,2008.0
6,243.5,2016,220.6,1990,190.4,1920,146.2,1935,148.0,1979,145.7,1935,170.3,1957,199.5,1956,219.0,1935,253.4,1987,265.0,1939,273.6,1915.0,606.4,2007.0,379.2,1994,432.8,2008,582.3,1967,1654.3,1998.0
7,242.2,1999,218.5,1997,182.4,1914,140.8,2001,141.7,1955,142.6,1927,166.5,1924,193.4,1946,200.5,1976,238.4,1932,263.9,1931,267.5,1979.0,604.9,1994.0,373.8,1963,429.9,1917,573.5,1984,1647.7,1920.0
8,241.5,1988,216.5,1977,181.6,1998,139.6,1970,139.9,1925,139.8,1997,158.9,2010,190.5,1910,198.0,1999,231.1,1923,256.3,1951,265.9,1914.0,595.9,1937.0,367.8,1998,421.0,1924,571.0,1944,1626.6,2002.0
9,239.4,1995,210.9,1958,173.4,1988,138.4,1966,137.7,1983,138.0,1985,156.9,1922,188.5,2008,196.6,1946,229.5,1981,254.5,1926,265.4,1986.0,577.6,1925.0,359.5,1951,419.4,1956,547.7,1930,1597.6,1924.0
10,233.8,1930,206.9,1915,173.2,1989,128.4,1991,137.5,1932,135.6,1910,150.2,2008,183.9,1951,195.5,1924,228.9,2008,253.2,1970,264.7,2012.0,570.4,1916.0,355.4,1986,417.2,1939,542.0,1998,1596.7,1927.0
11,227.5,1939,186.1,1995,172.7,2006,127.3,1959,135.8,2015,134.4,2017,147.6,1953,167.9,1921,181.8,1967,228.7,1949,246.1,2015,263.8,1959.0,569.7,1923.0,354.7,1983,412.4,1954,539.5,1940,1594.5,1930.0
12,226.9,1943,180.8,1916,170.9,1951,125.6,1932,135.5,1993,134.0,1954,147.2,1932,165.0,1924,181.5,2017,225.3,2013,241.5,1928,258.5,1994.0,564.4,1966.0,353.1,1932,409.9,1950,535.2,1982,1590.6,1923.0
13,219.6,1975,178.3,1935,169.8,1979,124.3,1947,133.2,1931,133.1,1948,145.4,1914,160.9,1962,178.7,1927,223.9,1938,240.8,1963,258.0,2006.0,558.3,1930.0,351.0,1972,403.5,2009,533.8,1918,1589.8,1950.0
14,218.9,1984,176.1,1922,169.0,1963,122.4,1949,130.2,2014,131.6,1936,144.8,1958,157.8,1948,178.6,1983,222.8,1928,236.0,1986,249.4,1999.0,557.7,1974.0,330.1,1942,401.1,1946,532.4,1950,1584.3,1999.0
15,207.8,1983,174.2,2000,164.7,2017,122.0,1963,128.9,2007,131.5,1980,143.2,1956,157.7,1957,173.5,1984,220.2,2005,236.0,1946,243.4,2000.0,533.6,1980.0,328.7,1988,398.9,1931,525.7,1976,1581.3,1912.0
16,202.6,2007,173.6,1910,163.6,1982,120.6,1994,128.7,2003,130.3,2016,142.3,1915,157.0,2004,164.8,1968,210.7,1917,235.5,1944,234.6,1919.0,533.3,1920.0,324.4,1919,390.5,1958,522.5,1974,1578.8,1994.0
17,202.4,1932,172.0,1974,147.7,1980,120.4,1972,128.1,1943,129.0,1946,139.2,1918,156.7,1941,162.6,2000,208.7,1930,231.7,2002,233.9,1918.0,533.1,2000.0,316.1,1955,386.6,2017,522.5,1923,1572.2,1946.0
18,201.7,1938,170.3,1966,146.6,2008,118.1,1999,123.1,1920,128.8,1972,138.3,1960,156.4,2012,160.9,1965,208.3,1929,222.0,1992,232.2,1964.0,530.6,1928.0,316.0,2001,385.7,1928,515.1,1928,1571.9,1951.0
19,200.6,1998,168.8,1928,145.1,1921,117.1,1962,117.9,1986,128.5,1945,135.4,1938,153.8,1986,160.2,1962,207.0,1935,221.4,1982,227.7,1910.0,524.9,1943.0,314.9,2002,384.7,1957,511.9,2008,1569.4,2015.0
20,198.3,1921,166.6,1945,142.7,1927,115.9,1950,117.5,1972,127.0,1931,133.6,2012,152.6,1952,157.0,1930,206.8,2001,216.7,1984,225.8,2013.0,523.9,1935.0,314.9,1966,377.9,1920,507.4,2005,1568.5,1910.0
21,198.0,1960,157.7,1989,142.4,1987,115.0,2005,116.3,1981,126.6,1982,132.9,1930,150.9,1930,155.0,1943,206.8,1961,216.1,1938,217.7,1924.0,521.2,2002.0,313.0,1924,374.7,1992,505.3,1938,1561.7,1974.0
22,197.6,1993,155.9,1946,142.0,1957,113.0,1985,116.1,1958,123.8,1987,132.9,1912,149.9,1971,154.6,2008,206.0,1976,213.9,1959,216.7,1948.0,520.4,1948.0,308.6,1969,371.5,1938,500.5,2009,1561.4,1948.0
23,192.4,2004,155.2,1967,135.7,1992,110.7,1993,112.6,2013,123.8,1971,132.0,1927,149.7,1988,154.2,1954,199.5,2002,201.8,1977,212.1,1966.0,519.1,1912.0,305.9,2000,370.0,1948,493.4,2004,1552.5,2014.0
24,189.6,1920,152.8,1960,130.3,1986,110.7,1983,110.7,1973,121.6,1965,131.3,1954,147.0,1954,153.6,1960,192.3,1944,198.6,2006,211.0,2011.0,518.1,1946.0,305.2,1992,367.7,1936,493.4,1970,1538.9,1967.0
25,189.3,1986,152.3,1980,128.2,1991,109.7,1910,110.7,1916,120.7,1938,131.1,1926,144.4,1923,152.6,2010,188.7,2006,195.3,1935,209.9,1985.0,509.9,2008.0,302.6,1967,366.5,1988,492.8,1987,1536.4,1958.0
26,188.0,1994,151.7,1914,126.2,1978,108.9,1931,109.8,1997,117.6,1958,129.2,2017,143.8,1931,150.3,1953,188.7,1933,192.3,1910,209.5,1978.0,507.8,1939.0,301.9,1968,349.8,1998,492.1,1916,1531.2,1918.0
27,187.6,1946,147.5,2016,121.7,1954,107.2,1986,108.5,1996,115.4,1963,128.8,1974,143.1,2014,148.2,1982,186.9,1980,189.9,1997,198.5,1989.0,492.9,1999.0,301.5,1914,342.8,1953,486.8,1932,1520.6,1986.0
